node_index,storage_location_deg,storage_location_clustering,storage_location_closeness,storage_location_betweenness,node_id
28,36,0.8936507936507937,0.9285714285714286,0.00414945735570729,ATWWP001K24P
24,39,0.844804318488529,1.0,0.00741445182568791,ATN01K24P
1,39,0.844804318488529,1.0,0.00741445182568791,SOS005L04P
3,39,0.844804318488529,1.0,0.00741445182568791,SOS002L09P
2,39,0.844804318488529,1.0,0.00741445182568791,SOS003L04P
5,39,0.844804318488529,1.0,0.00741445182568791,SOS500M24P
4,39,0.844804318488529,1.0,0.00741445182568791,SOS001L12P
22,39,0.844804318488529,1.0,0.00741445182568791,AT5X5K
10,39,0.844804318488529,1.0,0.00741445182568791,POV001L24P
11,37,0.8753753753753754,0.9512195121951219,0.005159136335078303,POV500M24P
26,39,0.844804318488529,1.0,0.00741445182568791,MAR01K24P
31,39,0.844804318488529,1.0,0.00741445182568791,SE500G24P
0,39,0.844804318488529,1.0,0.00741445182568791,SOS008L02P
19,37,0.8753753753753754,0.9512195121951219,0.005159136335078303,POP002L09P
20,39,0.844804318488529,1.0,0.00741445182568791,POP500M24P
9,39,0.844804318488529,1.0,0.00741445182568791,POV002L09P
8,37,0.8753753753753754,0.9512195121951219,0.005159136335078303,POV005L04P
12,39,0.844804318488529,1.0,0.00741445182568791,POP001L12P
18,34,0.9269162210338681,0.8863636363636364,0.0024002147395916097,POP005L04P
21,27,0.9829059829059829,0.7647058823529411,0.0003520506953001232,POPF01L12P
29,37,0.8723723723723724,0.9512195121951219,0.005442381912193565,MASR025K
7,33,0.9185606060606061,0.8666666666666667,0.0026893109774126993,SOP001L12P
23,33,0.9375,0.8666666666666667,0.0019915400174157437,ATN02K12P
32,37,0.8753753753753754,0.9512195121951219,0.005159136335078303,SE200G24P
25,29,0.9655172413793104,0.7959183673469388,0.0008563366458103302,MAR02K12P
6,39,0.844804318488529,1.0,0.00741445182568791,SOS250M48P
34,23,1.0,0.7090909090909091,0.0,ATPA1K24P
36,23,1.0,0.7090909090909091,0.0,MAP1K25P
38,32,0.9495967741935484,0.8478260869565217,0.0015163693706203827,EEA500G12P
39,32,0.9495967741935484,0.8478260869565217,0.0015163693706203827,EEA200G24P
30,33,0.9261363636363636,0.8666666666666667,0.00242832770116699,MAHS025K
17,24,1.0,0.7222222222222222,0.0,SO0500M24P
35,24,1.0,0.7222222222222222,0.0,MAPA1K24P
37,24,1.0,0.7222222222222222,0.0,MAC1K25P
14,23,1.0,0.7090909090909091,0.0,SO0005L04P
15,23,1.0,0.7090909090909091,0.0,SO0002L09P
16,23,1.0,0.7090909090909091,0.0,SO0001L12P
13,28,1.0,0.78,0.0,POP015K
27,28,1.0,0.78,0.0,ATWWP002K12P
33,28,1.0,0.78,0.0,ATPPCH5X5K
